iter	Logloss
0	0.6123742475
1	0.5448700049
2	0.4895701917
3	0.4437626186
4	0.4044415218
5	0.3733954022
6	0.3462970626
7	0.3225483111
8	0.3035605303
9	0.2868630699
10	0.2737481319
11	0.2624337644
12	0.2529329148
13	0.245235423
14	0.2382030244
15	0.2318027377
16	0.2260052512
17	0.2213565895
18	0.2169644057
19	0.2135906252
20	0.2106321639
21	0.2077458169
22	0.2049689534
23	0.2022675331
24	0.1995984105
25	0.1975188518
26	0.1954736006
27	0.1939537477
28	0.1926295389
29	0.1913283942
30	0.1899587695
31	0.1889657916
32	0.1878749818
33	0.1868417298
34	0.1858789911
35	0.1849146263
36	0.1840996593
37	0.1833565881
38	0.1825732847
39	0.1821492289
40	0.1813071228
41	0.1808668091
42	0.1803198185
43	0.179898014
44	0.1795080764
45	0.1789799345
46	0.1785951408
47	0.1782433852
48	0.177807925
49	0.1773943022
50	0.1770496018
51	0.1764507283
52	0.1759683306
53	0.1754833005
54	0.175005906
55	0.1747018956
56	0.1743070849
57	0.1738541819
58	0.1736764063
59	0.1733360636
60	0.1731741517
61	0.1729801458
62	0.1727966127
63	0.1725955076
64	0.1723203396
65	0.171996232
66	0.1717603327
67	0.1716156828
68	0.1714835964
69	0.171250282
70	0.171064365
71	0.1709621225
72	0.1705806314
73	0.170308761
74	0.1701817349
75	0.1699719163
76	0.1697628886
77	0.1695081423
78	0.1692893385
79	0.1690911462
80	0.1688413258
81	0.1687406198
82	0.1685976004
83	0.1684233638
84	0.1682091273
85	0.1680483173
86	0.1679425318
87	0.1678466339
88	0.1676702748
89	0.1675317643
90	0.1673695186
91	0.1672573605
92	0.1671459568
93	0.1670402808
94	0.1669029032
95	0.166767004
96	0.1666638814
97	0.1664698793
98	0.1663088073
99	0.1662214139
100	0.1661550575
101	0.1660545537
102	0.1658206066
103	0.1657607959
104	0.1656729348
105	0.1655294002
106	0.1654270024
107	0.1653256506
108	0.1652685926
109	0.1652035852
110	0.1651424606
111	0.1650245439
112	0.1649037936
113	0.1648294027
114	0.1647274807
115	0.1646787181
116	0.1646180292
117	0.1645035176
118	0.1644026553
119	0.164290791
120	0.164094349
121	0.1640165057
122	0.1639543246
123	0.1638750593
124	0.1637715088
125	0.1636296513
126	0.1635169556
127	0.1633762795
128	0.1632871238
129	0.1632065357
130	0.1630984596
131	0.1630321685
132	0.1629473783
133	0.1628189174
134	0.1627147621
135	0.1626037552
136	0.1625544539
137	0.1625022727
138	0.1624075634
139	0.1623568133
140	0.1622612953
141	0.1622041242
142	0.1621240082
143	0.1620648134
144	0.1620036926
145	0.161889577
146	0.161850187
147	0.1617754481
148	0.1616804312
149	0.1616045473
150	0.1615274297
151	0.1614364907
152	0.161318842
153	0.1611692094
154	0.1611055328
155	0.1610509998
156	0.1610132723
157	0.1609590458
158	0.1608366208
159	0.1607581363
160	0.1607022777
161	0.1606604759
162	0.1606007562
163	0.1605444819
164	0.1605035336
165	0.1604751765
166	0.1603810015
167	0.1603444409
168	0.1602746001
169	0.1602357428
170	0.1602135313
171	0.1601023795
172	0.1600202055
173	0.1599543087
174	0.1599036042
175	0.1597951825
176	0.1597231833
177	0.1596910437
178	0.1596510658
179	0.1596140918
180	0.1595545612
181	0.1594670231
182	0.1594401291
183	0.1593508323
184	0.1593039899
185	0.1592243062
186	0.1591784555
187	0.1591468005
188	0.1590807461
189	0.1590311761
190	0.1589931885
191	0.1589611402
192	0.1588762132
193	0.158762075
194	0.1587142994
195	0.1586505312
196	0.1586297023
197	0.1585883765
198	0.1584840183
199	0.1584631079
200	0.1584333099
201	0.1583815615
202	0.1582907486
203	0.1582151268
204	0.1581590754
205	0.1581291386
206	0.1580536864
207	0.158024628
208	0.1579846216
209	0.1579598517
210	0.1579215728
211	0.1578897914
212	0.1578661716
213	0.1578362243
214	0.1577867907
215	0.157767091
216	0.1577352468
217	0.1577037809
218	0.1576608322
219	0.1576298154
220	0.1575424137
221	0.1575143477
222	0.1574836106
223	0.1573882795
224	0.1573695761
225	0.1573288331
226	0.1572958304
227	0.1572696178
228	0.1572031942
229	0.157158967
230	0.1571014354
231	0.1570642626
232	0.1570417702
233	0.1570056771
234	0.156973769
235	0.1569391075
236	0.1568900821
237	0.1568586995
238	0.1568058778
239	0.1567581655
240	0.1567126114
241	0.1566565646
242	0.1566194703
243	0.1565658665
244	0.1565141353
245	0.1564784698
246	0.1564418985
247	0.1564277641
248	0.1564024262
249	0.1563881473
250	0.1563368981
251	0.1562785953
252	0.1562203584
253	0.1561937063
254	0.1561407741
255	0.1561081804
256	0.1560909697
257	0.1560689897
258	0.1560293583
259	0.155976651
260	0.1559404315
261	0.155884361
262	0.1558679431
263	0.1558317105
264	0.1557823899
265	0.1557477792
266	0.1557318176
267	0.1557031005
268	0.1556807238
269	0.1556600475
270	0.1556472426
271	0.1556192069
272	0.1555469411
273	0.1554989066
274	0.1554565921
275	0.1554284768
276	0.1553537404
277	0.1553272172
278	0.1553026105
279	0.1552741893
280	0.1552520541
281	0.1552132104
282	0.155192808
283	0.1551548841
284	0.155122199
285	0.1551011968
286	0.1550641546
287	0.1550259946
288	0.1550066589
289	0.1549607812
290	0.1549429209
291	0.1549134192
292	0.1548950139
293	0.1548829118
294	0.1548367289
295	0.1548100474
296	0.1547847408
297	0.1547728904
298	0.1547540844
299	0.1547210853
300	0.1547009624
301	0.1546779265
302	0.1546374752
303	0.1546134808
304	0.1545918644
305	0.1545590028
306	0.1545418641
307	0.1545106116
308	0.1544962282
309	0.1544764164
310	0.154430652
311	0.1544021294
312	0.1543774728
313	0.154348149
314	0.1543277239
315	0.1543055313
316	0.1542912557
317	0.1542229908
318	0.1541898095
319	0.1541731962
320	0.1541481864
321	0.1541326339
322	0.1541108712
323	0.1540954371
324	0.1540712217
325	0.1540461141
326	0.1540182446
327	0.1539764945
328	0.1539511337
329	0.153934487
330	0.1539086766
331	0.153883422
332	0.1538635894
333	0.1538403585
334	0.1538152011
335	0.1538000503
336	0.1537718567
337	0.1537535102
338	0.1537378764
339	0.1537088977
340	0.1536989009
341	0.1536820543
342	0.1536605228
343	0.1536258703
344	0.153612021
345	0.1535866445
346	0.1535622435
347	0.1535441503
348	0.1535209582
349	0.153494677
350	0.1534695556
351	0.153445693
352	0.1534276417
353	0.1534070068
354	0.1533495216
355	0.1533123034
356	0.1532890786
357	0.1532644081
358	0.1532295931
359	0.1531983538
360	0.1531785504
361	0.1531580385
362	0.1531291192
363	0.1530940883
364	0.1530682632
365	0.1530496106
366	0.1530323877
367	0.1530017035
368	0.1529825897
369	0.152967846
370	0.1529518556
371	0.1529287641
372	0.1529011348
373	0.1528787686
374	0.1528660593
375	0.1528441197
376	0.152828245
377	0.1527846101
378	0.1527716531
379	0.152758195
380	0.152735674
381	0.1527106037
382	0.1526834434
383	0.1526691677
384	0.1526528178
385	0.1526414103
386	0.1526255513
387	0.1526010395
388	0.152587761
389	0.1525719755
390	0.1525558214
391	0.1525399673
392	0.1525113152
393	0.1524928777
394	0.1524818927
395	0.1524540175
396	0.1524354257
397	0.1524217746
398	0.1524017045
399	0.1523753182
400	0.1523500405
401	0.1523402169
402	0.1523047695
403	0.1522921704
404	0.1522772501
405	0.1522505611
406	0.1522392882
407	0.1522159285
408	0.1522007851
409	0.1521665942
410	0.15215655
411	0.1521432293
412	0.1521249916
413	0.1520937697
414	0.1520731925
415	0.1520522625
416	0.1520344781
417	0.1520167974
418	0.1520074132
419	0.1519878961
420	0.1519662838
421	0.151944267
422	0.151932727
423	0.1519153137
424	0.1519028862
425	0.1518914123
426	0.1518692985
427	0.1518543853
428	0.1518429828
429	0.1518325697
430	0.1518198108
431	0.1517912644
432	0.1517811467
433	0.1517732539
434	0.1517585507
435	0.1517303836
436	0.1517158327
437	0.1517044283
438	0.1516757734
439	0.1516539946
440	0.1516368439
441	0.1516224306
442	0.1516070274
443	0.1515974667
444	0.1515788149
445	0.1515672261
446	0.1515529835
447	0.1515318787
448	0.1515144749
449	0.1514967154
450	0.1514833166
451	0.1514701637
452	0.1514544723
453	0.1514441005
454	0.1514252516
455	0.1514112879
456	0.1514056869
457	0.1513890688
458	0.1513788295
459	0.1513617002
460	0.1513535018
461	0.1513311343
462	0.1513173426
463	0.1513080055
464	0.1512950002
465	0.1512828639
466	0.1512589337
467	0.1512482915
468	0.1512293433
469	0.1512176747
470	0.1512024518
471	0.1511916032
472	0.1511823532
473	0.15116358
474	0.1511471065
475	0.1511142412
476	0.1511013418
477	0.151075193
478	0.1510631082
479	0.1510510615
480	0.1510360418
481	0.1510264927
482	0.151011806
483	0.1509997222
484	0.150984704
485	0.1509697049
486	0.1509461948
487	0.1509362312
488	0.1509265992
489	0.150919318
490	0.1509097534
491	0.1508897502
492	0.1508705251
493	0.150855137
494	0.1508175262
495	0.1508016056
496	0.1507891493
497	0.1507711414
498	0.1507602693
499	0.1507475153
500	0.1507403025
501	0.1507336294
502	0.1507160984
503	0.1507086749
504	0.150691599
505	0.1506792785
506	0.1506544513
507	0.1506456767
508	0.1506325154
509	0.1506169007
510	0.1506101727
511	0.1505975515
512	0.1505899902
513	0.1505757719
514	0.1505719563
515	0.1505547107
516	0.1505442055
517	0.1505338506
518	0.1505214773
519	0.1505022022
520	0.1504907356
521	0.150474409
522	0.1504602573
523	0.1504449621
524	0.150431311
525	0.1504169869
526	0.1504025372
527	0.1503887508
528	0.1503747732
529	0.1503660201
530	0.1503323871
531	0.150318945
532	0.1503031947
533	0.1502890938
534	0.1502589881
535	0.1502460355
536	0.1502319094
537	0.1502164989
538	0.1502027914
539	0.1501890499
540	0.150178855
541	0.1501595424
542	0.15014599
543	0.1501162005
544	0.1501074409
545	0.1500993843
546	0.1500842338
547	0.1500732921
548	0.1500567566
549	0.1500468113
550	0.1500342342
551	0.1500231479
552	0.1500144281
553	0.1499904071
554	0.1499696611
555	0.1499530898
556	0.1499418789
557	0.1499268343
558	0.1499159512
559	0.1499094181
560	0.1499054837
561	0.1498870191
562	0.1498735708
563	0.1498623512
564	0.149849254
565	0.1498379148
566	0.1498266676
567	0.1498117053
568	0.1498071538
569	0.1497942787
570	0.1497847294
571	0.1497713524
572	0.1497579876
573	0.1497496576
574	0.1497421677
575	0.1497282426
576	0.1497039286
577	0.1496856457
578	0.1496739164
579	0.1496543993
580	0.1496480755
581	0.1496375665
582	0.1496235476
583	0.149600182
584	0.1495819014
585	0.1495668668
586	0.1495516931
587	0.1495419675
588	0.1495336602
589	0.1495216692
590	0.1495175263
591	0.1495069053
592	0.1494968877
593	0.1494839001
594	0.1494766378
595	0.1494685836
596	0.1494497509
597	0.1494410034
598	0.1494276382
599	0.1494217804
600	0.1494092354
601	0.1493980961
602	0.149393973
603	0.1493857702
604	0.1493785954
605	0.1493670969
606	0.1493603823
607	0.1493514239
608	0.1493403705
609	0.1493292102
610	0.1493086585
611	0.1492942216
612	0.1492861262
613	0.1492671939
614	0.1492576438
615	0.1492508134
616	0.1492305625
617	0.1492182263
618	0.1492023286
619	0.1491912764
620	0.1491805705
621	0.1491709694
622	0.1491590509
623	0.1491501229
624	0.1491407531
625	0.1491311026
626	0.1491247941
627	0.1491132726
628	0.1491035828
629	0.1490898272
630	0.1490775201
631	0.1490662838
632	0.1490602886
633	0.1490528339
634	0.1490409898
635	0.1490351238
636	0.1490251129
637	0.1490182312
638	0.1490124064
639	0.1489959134
640	0.1489774023
641	0.1489725291
642	0.148968194
643	0.1489582584
644	0.1489434091
645	0.1489313748
646	0.1489184023
647	0.1489057524
648	0.1488979427
649	0.1488719137
650	0.1488585833
651	0.1488488056
652	0.1488383338
653	0.1488312068
654	0.1488309098
655	0.1488157903
656	0.1487928533
657	0.1487842072
658	0.1487793261
659	0.1487733873
660	0.14876007
661	0.1487508368
662	0.1487477301
663	0.1487334126
664	0.1487232853
665	0.1487170274
666	0.1487047812
667	0.1486887795
668	0.1486686514
669	0.1486590648
670	0.1486492377
671	0.1486387293
672	0.1486293455
673	0.148615806
674	0.1486111376
675	0.1486013186
676	0.1485830097
677	0.1485727567
678	0.1485629717
679	0.1485503474
680	0.1485400923
681	0.1485216116
682	0.14851352
683	0.148502382
684	0.1484942726
685	0.1484806235
686	0.1484713264
687	0.1484621929
688	0.1484479396
689	0.1484388083
690	0.1484384897
691	0.1484242729
692	0.1484139529
693	0.1484016906
694	0.1483911902
695	0.1483793116
696	0.1483729718
697	0.148365412
698	0.1483532281
699	0.1483435614
700	0.1483331495
701	0.1483252196
702	0.1483133093
703	0.1483035955
704	0.148296621
705	0.1482869186
706	0.148271345
707	0.1482581091
708	0.148248749
709	0.1482383786
710	0.1482233519
711	0.1482179053
712	0.1482044343
713	0.1481976429
714	0.1481967378
715	0.1481884581
716	0.1481679634
717	0.148157718
718	0.1481483289
719	0.1481411187
720	0.1481337823
721	0.1481320987
722	0.1481235438
723	0.1481139227
724	0.1481074841
725	0.1480957875
726	0.1480891421
727	0.148082561
728	0.1480660112
729	0.148061125
730	0.148049021
731	0.1480347811
732	0.1480221831
733	0.1480128755
734	0.1480047001
735	0.1479914782
736	0.1479828103
737	0.1479648985
738	0.1479561519
739	0.1479459183
740	0.1479371381
741	0.1479317084
742	0.1479212615
743	0.1479130873
744	0.1479056764
745	0.1478974256
746	0.1478901885
747	0.147877079
748	0.1478636949
749	0.1478545535
750	0.1478450369
751	0.14783954
752	0.147821878
753	0.1478132774
754	0.1478073359
755	0.1477976363
756	0.1477870174
757	0.1477751889
758	0.1477681023
759	0.147762339
760	0.1477556915
761	0.1477501127
762	0.1477427531
763	0.1477329127
764	0.1477257063
765	0.1477253012
766	0.147703335
767	0.1476902964
768	0.1476837207
769	0.1476782899
770	0.1476695646
771	0.1476609114
772	0.1476521372
773	0.1476448893
774	0.147638203
775	0.1476331032
776	0.1476209389
777	0.1476166475
778	0.1476077074
779	0.1476012729
780	0.1475930672
781	0.1475823263
782	0.1475722081
783	0.1475644509
784	0.1475640836
785	0.147538571
786	0.1475310353
787	0.147525592
788	0.1475147597
789	0.1475015378
790	0.1474885474
791	0.1474818862
792	0.1474787875
